_Id,_TagName,_Count,_ExcerptPostId,_WikiPostId
307,slav-defense,29,4041,4040
308,babaschess,4,4031,4030
309,winboard,3,4036,4035
311,time-control,71,5684,5683
312,scheveningen,3,5521,5520
316,berlin,5,4269,4268
317,petroff-defense,14,4228,4227
318,scandinavian-defense,19,4226,4225
320,modern-defense,9,4246,4245
324,morphy,7,4559,4558
326,annotation,38,12534,12533
327,rook-endgame,45,8166,8165
330,teaching,35,15026,15025
332,old-indian,4,4731,4730
333,rapid,12,18550,18549
335,queens-indian,12,4626,4625
336,pirc-defense,11,4631,4630
338,linux,21,14781,14780
339,material-balance,17,15457,15456
341,titles,28,15028,15027
342,beginner,134,4737,4736
344,time-management,38,4715,4714
345,pins,22,4711,4710
346,correspondence-chess,44,4718,4717
347,zwischenzug,3,4728,4727
348,losing,13,4765,4764
349,best-practice,32,4767,4766
352,simultaneous,21,15030,15029
353,bishop-endgame,27,8094,8093
354,center,22,4819,4818
357,stalemate,62,5163,5162
358,famous-moves,5,32205,32204
359,super-grandmaster,17,4861,4860
360,talent,4,4859,4858
361,press-conference,1,4863,4862
362,famous-games,55,4865,4864
363,famous-events,6,4867,4866
364,calculation,45,4869,4868
365,chess-blog,3,4872,4871
366,eco,9,4876,4875
367,windows,9,4879,4878
368,elementary-mates,7,5445,5444
370,macos,6,4906,4905
371,chessbase,60,4908,4907
372,online-blitz,21,4910,4909
373,human-versus-machine,20,4912,4911
374,ply,4,4916,4915
376,bishop-pair,11,4933,4932
378,performance,23,15902,15901
382,advantage,13,32274,32273
385,download-games,5,4949,4948
387,game-length,4,4971,4970
388,forced-move,16,4986,4985
389,blunder,64,5002,5001
390,winning,24,7694,7693
391,candidate-move,10,5004,5003
392,refuted,6,17119,17118
394,aronian,2,5092,5091
395,isolated-pawn,7,8143,8142
396,doubled-pawn,14,8137,8136
398,claim-draw,25,14652,14651
399,karjakin,7,5161,5160
400,brute-force,2,29801,29800
404,android,19,14783,14782
406,team,14,15904,15903
409,xiangqi,10,5219,5218
411,shogi,14,5441,5440
414,sportsmanship,12,5426,5425
417,cheating,34,15024,15023
419,uci,63,7895,7894
420,arena,31,9918,9917
421,catalan,11,7973,7972
425,minor-variations,7,8515,8514
426,modern-benoni,10,13288,13287
429,computer-chess,122,15896,15895
430,fritz,31,8336,8335
439,mathematics,66,6222,6221
440,rook-and-minor-endgame,12,6245,6244
442,style,17,6524,6523
445,scoresheet,11,6587,6586
1445,game-complexity,18,7643,7642
1447,planning,39,11089,11088
1450,carlsen-anand-2014,11,7765,7764
1453,bogo-indian-defense,3,7884,7883
1457,london-system,19,15459,15458
1460,hardware,6,9154,9153
1463,queen-endgame,24,9001,9000
1476,atomic-chess,8,9518,9517
1479,kings-indian-attack,10,15463,15462
1486,resigning,36,12400,12399
1488,women,12,18757,18756
2488,counterplay,6,12237,12236
2489,coach,14,13864,13863
2490,topalov,3,16242,16241
2493,perpetual,13,12987,12986
2494,candidates,13,13007,13006
2506,king-safety,6,18759,18758
2509,visualization,13,14831,14830
2510,material,5,29813,29812
2516,handicap,7,13513,13512
2550,semi-slav,7,18554,18553
2553,fortress,11,13903,13902
2565,development,12,14386,14385
2568,diagram,5,18548,18547
2569,knight-endgame,31,14532,14531
2574,poisoned-pawn,2,14556,14555
2576,sveshnikov,5,14554,14553
2581,pronunciation,2,29811,29810
2585,chess-set,16,14899,14898
2586,chess-font,1,14981,14980
2594,chess-olympiad,7,15296,15295
2596,threefold-repetition,35,18746,18745
2601,opening-traps,25,15793,15792
2603,bishops-opening,5,15920,15919
2607,film,8,16333,16332
2608,swiss-pairing,18,18750,18749
2614,queens-gambit-declined,27,17110,17109
2615,benko-gambit,2,17134,17133
2616,owens-defence,2,18556,18555
2618,lasker,5,18558,18557
2620,identify-this,15,17882,17881
2629,lilienthal,1,19258,19257
2636,reti-opening,6,18546,18545
2642,records,71,18748,18747
2644,international-master,5,18752,18751
2650,boris-spassky,2,19256,19255
2651,1972-world-championship,4,21280,21279
2656,careers,3,19074,19073
2657,saemisch,1,19260,19259
2658,depth,9,32230,32229
2662,alphazero,44,21784,21783
2665,accelerated-dragon,4,21284,21283
2670,repertoire,6,,
2672,ethics,5,34058,34057
2678,aaron-nimzowitsch,1,21282,21281
2680,hypermodernism,2,32222,32221
2681,chess-ai,8,20083,20082
2682,lichess,49,21672,21671
2684,dead-position,9,21320,21319
2685,greek-gift,2,21339,21338
2687,opposition,1,21471,21470
2690,norway-chess,2,21679,21678
2691,nakamura,3,21677,21676
2692,ding,2,21675,21674
2706,quotations,6,22531,22530
2707,senior-chess,1,22551,22550
2711,open-games,6,32262,32261
2715,bye,1,22814,22813
2716,chess-videos,8,29805,29804
2719,spectating,1,22932,22931
2724,sicilian-dragon,8,32183,32182
2730,leela,22,23503,23502
2734,round-robin,2,32226,32225
2740,double-check,5,24345,24344
2742,discovered-check,2,24347,24346
2749,king-of-the-hill,3,24630,24629
2751,gender,3,,
2752,tie-breaks,1,24928,24927
2753,iq,4,24941,24940
2755,odds,6,25115,25114
2756,indian-defence,1,25234,25233
2757,perft,6,26450,26449
2766,unorthodox-pieces,18,26946,26945
2769,minimax,10,27883,27882
2775,crazyhouse,8,32190,32189
2778,match,4,32224,32223
2779,kalashnikov,1,29807,29806
2780,shabalov-shirov-gambit,1,29809,29808
2810,studies-published-report,4,28539,28538
2816,postal,1,32282,32281
2817,queen-sacrifice,3,28725,28724
2820,python,30,28759,28758
2821,english-attack,1,28827,28826
2822,sicilian-kan,1,28831,28830
2824,space,4,28824,28823
2825,winawer-variation,1,28843,28842
2828,children,14,29803,29802
2829,ragozin-defense,1,29819,29818
2830,75-move-rule,5,29763,29762
2831,fivefold-repetition,3,29765,29764
2833,scidb,3,29252,29251
2834,uncbv,1,29254,29253
2837,damiano-defense,1,29821,29820
2838,trap,2,32228,32227
2839,windmill,2,30257,30256
2844,nimzowitsch-defense,1,32238,32237
2847,vienna-game,3,32235,32234
2849,bongcloud,1,32185,32184
2851,solving,13,31851,31850
2856,hanham,1,32207,32206
2865,franco-benoni,1,32179,32178
2866,benoni,5,32181,32180
2871,fork,3,32209,32208
2872,losing-chess,8,31844,31843
2880,grob,2,32175,32174
2881,borg,1,32177,32176
2891,loopholes,12,32035,32034
2894,froms-gambit,1,32159,32158
2895,lisitsin-gambit,1,32161,32160
2896,sicilian-taimanov,2,32233,32232
2898,reversed-openings,1,32290,32289
2900,latvian-gambit,1,32302,32301
2909,conventions,1,,
2911,pdfs,1,,
2912,skewer,1,,
2913,minigames,1,,
2914,double-step,1,33153,33152
2915,selfmate,1,,
2916,chess.com,10,33191,33190
2917,arbiters,12,33646,33645
2918,recommendations,9,,
2919,discovered-attack,1,,
2920,stafford-gambit,1,,
2926,reference-request,1,,
2927,prophylaxis,2,,
2928,wesley-so,4,33834,33833
2929,streaming,2,,
2931,trading,2,34050,34049
2932,chessmaster,2,34052,34051
2933,order,1,34054,34053
2934,chessboxing,1,34132,34131
2935,adjournment,1,,
2936,tempo,1,,
